order_id,order_timestamp,customer_id,product_id,quantity,unit_price,currency,payment_method,channel
ORD-20260601-0001,2026-06-01T00:15:22Z,CUST-0001,PROD-1001,1,139.00,AUD,card,web
ORD-20260601-0002,2026-06-01T01:03:10Z,CUST-0003,PROD-1004,3,7.50,AUD,paypal,mobile
ORD-20260601-0003,2026-06-01T02:44:02Z,CUST-0005,PROD-1008,1,79.00,AUD,card,web
ORD-20260601-0004,2026-06-01T04:18:49Z,CUST-0002,PROD-1002,2,49.00,AUD,card,store
ORD-20260601-0005,2026-06-01T05:26:33Z,CUST-0007,PROD-1007,1,32.00,AUD,card,mobile
ORD-20260601-0006,2026-06-01T07:55:08Z,CUST-0009,PROD-1003,1,89.00,AUD,paypal,web
ORD-20260601-0007,2026-06-01T09:12:41Z,CUST-0010,PROD-1005,4,12.00,AUD,card,web
ORD-20260601-0008,2026-06-01T10:39:16Z,CUST-0004,PROD-1006,2,18.00,AUD,card,store
ORD-20260601-0009,2026-06-01T12:07:27Z,CUST-0008,PROD-1010,1,45.00,AUD,bank_transfer,web
ORD-20260601-0010,2026-06-01T14:31:59Z,CUST-0006,PROD-1004,5,7.50,AUD,card,mobile
ORD-20260601-0011,2026-06-01T17:20:45Z,CUST-0001,PROD-1002,1,49.00,AUD,card,web
ORD-20260601-0012,2026-06-01T21:08:03Z,CUST-0005,PROD-1007,2,32.00,AUD,paypal,mobile
